l1,l2,l3,l4,l5,l6,l7,l8,l9,l10
analyse,achieve,alternative,access,academy,abstract,adapt,abandon,accommodate,adjacent
analysed,achievable,alternatively,accessed,academia,abstraction,adaptability,abandoned,accommodated,albeit
analyser,achieved,alternatives,accesses,academic,abstractions,adaptable,abandoning,accommodates,assemble
analysers,achievement,circumstance,accessibility,academically,abstractly,adaptation,abandonment,accommodating,assembled
analyses,achievements,circumstances,accessible,academics,abstracts,adaptations,abandons,accommodation,assembles
analysing,achieves,comment,accessing,academies,accurate,adapted,accompany,analogy,assemblies
analysis,achieving,commentaries,inaccessible,adjust,accuracy,adapting,accompanied,analogies,assembling
analyst,acquire,commentary,adequate,adjusted,accurately,adaptive,accompanies,analogous,assembly
analysts,acquired,commentator,adequacy,adjusting,inaccuracy,adapts,accompaniment,anticipate,collapse
analytic,acquires,commentators,adequately,adjustment,inaccuracies,adult,accompanying,anticipated,collapsed
analytical,acquiring,commented,inadequacies,adjustments,inaccurate,adulthood,unaccompanied,anticipates,collapses
analytically,acquisition,commenting,inadequacy,adjusts,acknowledge,adults,accumulate,anticipating,collapsible
analyze,acquisitions,comments,inadequate,readjust,acknowledged,advocate,accumulated,anticipation,collapsing
analyzed,administration,compensate,inadequately,readjusted,acknowledges,advocacy,accumulating,unanticipated,colleague
analyzes,administrates,compensated,annual,readjusting,acknowledging,advocated,accumulation,assure,colleagues
analyzing,administrate,compensates,annually,readjustment,acknowledgement,advocates,accumulates,assurance,compile
approach,administrations,compensating,apparent,readjustments,acknowledgements,advocating,ambiguous,assurances,compilation
approachable,administrative,compensation,apparently,readjusts,aggregate,aid,ambiguities,assured,compilations
approached,administratively,compensations,approximate,alter,aggregated,aided,ambiguity,assuredly,compiled
approaches,administrator,compensatory,approximated,alterable,aggregates,aiding,unambiguous,assures,compiles
approaching,administrators,component,approximately,alteration,aggregating,aids,unambiguously,assuring,compiling
unapproachable,affect,componentry,approximates,alterations,aggregation,unaided,append,attain,conceive
area,affected,components,approximating,altered,allocate,channel,appendix,attainable,conceivable
areas,affecting,consent,approximation,altering,allocated,channelled,appended,attained,conceivably
assess,affective,consensus,approximations,alternate,allocates,channelling,appends,attaining,conceived
assessable,affectively,consented,attitude,alternating,allocating,channels,appending,attainment,conceives
assessed,affects,consenting,attitudes,alters,allocation,chemical,appendices,attainments,conceiving
assesses,unaffected,consents,attribute,unalterable,allocations,chemically,appendixes,attains,inconceivable
assessing,appropriate,considerable,attributable,unaltered,assign,chemicals,appreciate,unattainable,inconceivably
assessment,appropriacy,considerably,attributed,amend,assigned,classic,appreciable,behalf,convince
assessments,appropriately,constant,attributes,amended,assigning,classical,appreciably,bulk,convinced
reassess,appropriateness,constancy,attributing,amending,assignment,classics,appreciated,bulky,convinces
reassessed,inappropriacy,constantly,attribution,amendment,assignments,comprehensive,appreciates,cease,convincing
reassessing,inappropriate,constants,civil,amendments,assigns,comprehensively,appreciating,ceased,convincingly
reassessment,inappropriately,inconstancy,code,amends,reassign,comprise,appreciation,ceaseless,unconvinced
unassessed,aspect,inconstantly,coded,aware,reassigned,comprised,unappreciated,ceases,depress
assume,aspects,constrain,codes,awareness,reassigning,comprises,arbitrary,ceasing,depressed
assumed,assist,constrained,coding,unaware,reassigns,comprising,arbitrariness,coherent,depresses
assumes,assistance,constraining,commit,capacity,unassigned,confirm,arbitrarily,coherence,depressing
assuming,assistant,constrains,commitment,capacities,attach,confirmation,automate,coherently,depression
assumption,assistants,constraint,commitments,incapacitate,attached,confirmed,automatic,incoherent,encounter
assumptions,assisted,constraints,commits,incapacitated,attaches,confirming,automated,incoherently,encountered
authority,assisting,unconstrained,committed,challenge,attaching,confirms,automates,coincide,encountering
authoritative,assists,contribute,committing,challenged,attachment,contrary,automating,coincided,encounters
authorities,unassisted,contributed,communicate,challenger,attachments,contrarily,automatically,coincides,enormous
available,category,contributes,communicable,challengers,unattached,convert,automation,coinciding,enormity
availability,categories,contributing,communicated,challenges,author,conversion,bias,coincidence,enormously
unavailable,categorisation,contribution,communicates,challenging,authored,conversions,biased,coincidences,forthcoming
benefit,categorise,contributions,communicating,clause,authoring,converted,biases,coincident,incline
beneficial,categorised,contributor,communication,clauses,authors,convertible,biasing,coincidental,inclination
beneficiary,categorises,contributors,communications,compound,authorship,converting,unbiased,commence,inclinations
beneficiaries,categorising,convene,communicative,compounded,bond,converts,chart,commenced,inclined
benefited,categorization,convention,communicatively,compounding,bonded,couple,charted,commences,inclines
benefiting,categorized,convenes,uncommunicative,compounds,bonding,coupled,charting,commencement,inclining
benefits,categorizes,convened,concentrate,conflict,bonds,coupling,charts,commencing,integrity
concept,categorizing,convening,concentrated,conflicted,brief,couples,uncharted,recommences,intrinsic
conception,chapter,conventional,concentrates,conflicting,brevity,decade,clarify,recommenced,intrinsically
concepts,chapters,conventionally,concentrating,conflicts,briefed,decades,clarification,recommencing,invoke
conceptual,commission,conventions,concentration,consult,briefing,definite,clarified,compatible,invoked
conceptualisation,commissioned,unconventional,confer,consultancy,briefly,definitely,clarifies,compatibility,invokes
